"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201836","2","June","Spanish","3","24","1","Female","1","2","1","5","1","1","2","1","1","1","2","1","2","9","9","9","9","9","2","2","1","2","3","2","2","2","3","1","2","1","1","2","9","9","1","1",6.80645161290323,35,"Unemployed"
"201843","2","June","English","3","37","1","Female","1","1","1","1","1","1","9","1","1","1","1","1","1","1","3","1","1","2","2","1","2","1","2","9","1","2","2","6","3","2","1","2","1","1","2","2",2.96774193548387,19,"Employed"
"201843","2","June","English","3","37","1","Female","1","1","1","1","1","1","9","1","1","1","1","1","1","1","3","1","1","2","2","1","2","1","2","9","1","2","2","6","3","2","1","2","1","1","2","2",2.96774193548387,19,"Employed"
"201843","2","June","English","3","37","1","Female","1","1","1","1","1","1","9","1","1","1","1","1","1","1","3","1","1","2","2","1","2","1","2","9","1","2","2","6","3","2","1","2","1","1","2","2",2.96774193548387,19,"Employed"
"201848","2","June","English","3","13","2","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","9","2","9","9","9","3","1","1","2","3","2","1","2","1","1","3","2","3","2","2","3","2","1",2,61,"Employed"
"201848","2","June","English","3","13","2","Male","2","2","1","2","1","1","1","1","1","1","1","1","2","9","2","9","9","9","3","1","1","2","3","2","1","2","1","1","3","2","3","2","2","3","2","1",2,61,"Employed"
"201850","2","June","English","2","17","2","Male","1","2","1","2","1","1","1","1","1","1","2","1","1","2","2","2","2","2","3","2","1","2","3","1","2","2","2","1","2","1","3","2","1","1","2","1",2.90322580645161,43,"Employed"
"201850","2","June","English","2","17","2","Male","1","2","1","2","1","1","1","1","1","1","2","1","1","2","2","2","2","2","3","2","1","2","3","1","2","2","2","1","2","1","3","2","1","1","2","1",2.90322580645161,43,"Employed"
"201850","2","June","English","2","17","2","Male","1","2","1","2","1","1","1","1","1","1","2","1","1","2","2","2","2","2","3","2","1","2","3","1","2","2","2","1","2","1","3","2","1","1","2","1",2.90322580645161,43,"Employed"
