"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
"201723","2","June","English","3"," 1","2","Male","2","2","1","2","1","1","1","1","1","1","2","1","2","9","3","2","1","1","1","1","1","2","3","2","2","2","3","2","1","2","1","2","1","1","2","1",6.29032258064516,39,"Employed"
"201723","2","June","English","3"," 1","2","Male","2","2","1","2","1","1","1","1","1","1","2","1","2","9","3","2","1","1","1","1","1","2","3","2","2","2","3","2","1","2","1","2","1","1","2","1",6.29032258064516,39,"Employed"
"201723","2","June","English","3"," 1","2","Male","2","2","1","2","1","1","1","1","1","1","2","1","2","9","3","2","1","1","1","1","1","2","3","2","2","2","3","2","1","2","1","2","1","1","2","1",6.29032258064516,39,"Employed"
"201723","2","June","English","3"," 1","2","Male","2","2","1","2","1","1","1","1","1","1","2","1","2","9","3","2","1","1","1","1","1","2","3","2","2","2","3","2","1","2","1","2","1","1","2","1",6.29032258064516,39,"Employed"
"201723","2","June","English","3"," 1","2","Male","2","2","1","2","1","1","1","1","1","1","2","1","2","9","3","2","1","1","1","1","1","2","3","2","2","2","3","2","1","2","1","2","1","1","2","1",6.29032258064516,39,"Employed"
"201723","2","June","English","3"," 1","2","Male","2","2","1","2","1","1","1","1","1","1","2","1","2","9","3","2","1","1","1","1","1","2","3","2","2","2","3","2","1","2","1","2","1","1","2","1",6.29032258064516,39,"Employed"
"201724","2","June","English","2","55","2","Male","3","4","1","2","1","1","1","2","1","1","1","2","2","3","1","3","3","3","3","2","2","2","3","1","2","2","1","6","1","2","1","2","1","2","1","1",2.74193548387097,24,"Employed"
"201724","2","June","English","2","55","2","Male","3","4","1","2","1","1","1","2","1","1","1","2","2","3","1","3","3","3","3","2","2","2","3","1","2","2","1","6","1","2","1","2","1","2","1","1",2.74193548387097,24,"Employed"
"201724","2","June","English","2","55","2","Male","3","4","1","2","1","1","1","2","1","1","1","2","2","3","1","3","3","3","3","2","2","2","3","1","2","2","1","6","1","2","1","2","1","2","1","1",2.74193548387097,24,"Employed"
"201727","2","June","English","2","17","2","Male","1","1","1","2","1","1","1","2","1","1","1","1","1","1","3","3","1","3","1","1","2","2","3","2","2","2","2","6","4","2","1","2","2","1","1","1",2.54838709677419,19,"Employed"
"201727","2","June","English","2","17","2","Male","1","1","1","2","1","1","1","2","1","1","1","1","1","1","3","3","1","3","1","1","2","2","3","2","2","2","2","6","4","2","1","2","2","1","1","1",2.54838709677419,19,"Employed"
"201727","2","June","English","2","17","2","Male","1","1","1","2","1","1","1","2","1","1","1","1","1","1","3","3","1","3","1","1","2","2","3","2","2","2","2","6","4","2","1","2","2","1","1","1",2.54838709677419,19,"Employed"
"201738","2","June","Spanish","3","48","2","Male","1","2","1","5","1","1","1","1","1","1","1","1","2","3","1","3","3","2","3","1","1","2","3","2","1","2","4","1","3","2","1","2","2","1","1","1",3.41935483870968,57,"Employed"
"201738","2","June","Spanish","3","48","2","Male","1","2","1","5","1","1","1","1","1","1","1","1","2","3","1","3","3","2","3","1","1","2","3","2","1","2","4","1","3","2","1","2","2","1","1","1",3.41935483870968,57,"Employed"
"201738","2","June","Spanish","3","48","2","Male","1","2","1","5","1","1","1","1","1","1","1","1","2","3","1","3","3","2","3","1","1","2","3","2","1","2","4","1","3","2","1","2","2","1","1","1",3.41935483870968,57,"Employed"
"201741","2","June","English","4","53","1","Male","1","2","1","1","1","1","1","2","1","1","1","1","1","2","2","9","3","9","2","1","2","2","3","1","2","2","2","1","2","1","2","2","1","2","2","1",3.48387096774194,38,"Employed"
"201741","2","June","English","4","53","1","Male","1","2","1","1","1","1","1","2","1","1","1","1","1","2","2","9","3","9","2","1","2","2","3","1","2","2","2","1","2","1","2","2","1","2","2","1",3.48387096774194,38,"Employed"
"201741","2","June","English","4","53","1","Male","1","2","1","1","1","1","1","2","1","1","1","1","1","2","2","9","3","9","2","1","2","2","3","1","2","2","2","1","2","1","2","2","1","2","2","1",3.48387096774194,38,"Employed"
