"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","age","empl","salary"
"200532","2","June","English","4","53","2","Male","2","2","1","1","1","1","1","1","1","2","2","1","1","2","3","3","1","3","2","2","2","1","1","2","2","2","2","6","4","2","1","2","2","2","2","3",20,"Unemployed",2
"200532","2","June","English","4","53","2","Male","2","2","1","1","1","1","1","1","1","2","2","1","1","2","3","3","1","3","2","2","2","1","1","2","2","2","2","6","4","2","1","2","2","2","2","3",20,"Unemployed",2
"200532","2","June","English","4","53","2","Male","2","2","1","1","1","1","1","1","1","2","2","1","1","2","3","3","1","3","2","2","2","1","1","2","2","2","2","6","4","2","1","2","2","2","2","3",20,"Unemployed",2
"200547","2","June","English","4"," 6","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","2","2","1","1","2","2","1","3","2","1","2","1","1","2","2","2","2","2","2","2","2",26,"Unemployed",2
"200547","2","June","English","4"," 6","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","2","2","1","1","2","2","1","3","2","1","2","1","1","2","2","2","2","2","2","2","2",26,"Unemployed",2
"200547","2","June","English","4"," 6","1","Male","2","2","1","2","1","1","1","1","1","1","1","1","1","1","3","2","2","1","1","2","2","1","3","2","1","2","1","1","2","2","2","2","2","2","2","2",26,"Unemployed",2
"200551","2","June","Spanish","4","53","2","Male","2","2","1","1","1","1","2","2","1","1","1","1","1","2","2","1","2","9","2","1","1","1","3","2","2","2","2","1","4","2","3","2","2","1","1","4",27,"Employed",4
"200551","2","June","Spanish","4","53","2","Male","2","2","1","1","1","1","2","2","1","1","1","1","1","2","2","1","2","9","2","1","1","1","3","2","2","2","2","1","4","2","3","2","2","1","1","4",27,"Employed",4
"200571","2","June","English","4","53","2","Male","1","2","1","2","2","1","1","1","2","2","1","9","2","9","9","9","9","9","9","9","9","2","3","2","2","2","2","1","1","2","1","2","9","9","2","1",50,"Employed",10
"200571","2","June","English","4","53","2","Male","1","2","1","2","2","1","1","1","2","2","1","9","2","9","9","9","9","9","9","9","9","2","3","2","2","2","2","1","1","2","1","2","9","9","2","1",50,"Employed",10
"200571","2","June","English","4","53","2","Male","1","2","1","2","2","1","1","1","2","2","1","9","2","9","9","9","9","9","9","9","9","2","3","2","2","2","2","1","1","2","1","2","9","9","2","1",50,"Employed",10
"200586","2","June","English","2","18","1","Female","2","3","1","3","2","1","1","1","1","1","2","9","1","3","1","3","3","3","1","2","1","2","3","2","2","2","3","1","2","2","1","2","1","1","2","1",66,"Employed",10
