"psraid","sample","int_date","lang","usr","cregion","state","form","sex","q1","q3","eminuse","intmob","intfreq","home4nw","bbhome1","bbhome2","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","device1a","smart1","q4","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart3c","bbsmart3d","bbsmart3e","bbsmart3f","bbsmart4","cable1","cable2","cable3a","cable3b","cable3c","act19","act87a","act87b","act137","q5a","q5b","q5c","q5d","q5e","q5f","date1a","date2a","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","emplnw","emptype1","emptype2","emptype3","stud","job1a","job1b","job1c","job1d","job1e","job1f","job2","job3a","job3b","job3c","job3d","job3e","job3f","job3g","job3h","job4","smjob1","smjob2a","smjob2b","smjob2c","smjob2d","smjob2e","smjob3","smjob4a","smjob4b","smjob4c","smjob4d","smjob4e","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","job5a","job5b","job5c","job5d","auto1a","auto1b","auto1c","auto1d","auto1e","auto2","auto3","age","marital","hh1","par","kidage1","kidage2","kidage3","educ2","edinst","disa","party","partyln","ideo","hisp","birth_hisp","race","inc","ql1a","qc1","zipcode","weight","standwt"
100006,1,61015,1,"S",3,51,1,2,1,2,1,1,1,1,2,NA,3,3,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,2,2,1,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,2,2,1,8,3,8,3,2,1,NA,4,NA,NA,NA,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,47,1,4,1,0,1,2,6,NA,2,3,8,1,2,NA,1,99,NA,NA,20112,2.25806451612903,0.72094060436615
100039,1,61015,1,"S",3,37,2,2,1,2,1,1,2,1,2,NA,3,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,2,NA,NA,NA,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,3,1,2,NA,1,1,1,NA,3,2,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,2,4,4,3,4,2,2,40,1,3,2,NA,NA,NA,5,NA,2,1,NA,2,2,NA,1,6,NA,NA,27028,5.03225806451613,1.60666763258742
100043,1,62215,1,"R",2,20,1,2,1,2,1,1,4,1,2,NA,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,2,2,2,1,NA,NA,NA,2,2,2,2,2,1,2,1,1,2,2,3,1,1,3,8,8,2,1,NA,2,5,2,4,3,1,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,4,4,4,4,4,2,2,69,1,2,2,NA,NA,NA,6,NA,2,3,8,3,2,NA,1,8,NA,NA,67601,1,0.319273696219295
100067,1,61015,1,"R",2,27,1,1,1,3,1,1,1,1,2,NA,3,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,2,1,2,1,NA,NA,NA,2,2,1,1,1,1,2,2,8,2,1,1,2,3,2,3,3,2,2,1,1,2,2,1,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,1,1,2,4,4,4,4,4,1,2,52,1,2,2,NA,NA,NA,4,NA,2,3,1,2,2,NA,1,8,NA,NA,55395,2.61290322580645,0.834231270766546
100080,1,62015,1,"S",3,45,2,2,4,4,1,1,2,1,3,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,3,2,3,1,2,2,1,8,2,8,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,4,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,4,4,4,4,1,2,43,1,2,1,0,1,0,6,NA,2,3,8,3,2,NA,1,98,NA,NA,29560,2.58064516129032,0.823932119275601
100084,1,61015,1,"R",3,1,2,2,2,2,1,1,2,1,2,NA,3,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,8,8,3,1,1,NA,1,1,2,4,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,3,8,8,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,3,3,2,2,44,1,3,2,NA,NA,NA,4,NA,2,1,NA,2,2,NA,1,7,NA,NA,36854,4.64516129032258,1.48307781469608
100118,1,61015,1,"U",3,1,2,1,1,2,1,1,2,1,2,NA,3,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,3,8,9,8,9,1,1,NA,1,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,1,4,4,4,4,4,3,2,58,1,2,2,NA,NA,NA,6,NA,2,1,NA,3,2,NA,1,7,NA,NA,36532,1.16129032258065,0.37076945367402
100129,1,62315,1,"R",4,30,1,2,4,4,1,1,1,1,2,NA,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,1,2,2,1,1,1,1,2,8,1,1,2,1,1,2,1,2,2,5,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,3,31,6,1,1,3,3,0,3,NA,2,3,8,3,2,NA,5,2,2,NA,59043,7.16129032258065,2.28641163098979
100142,1,61015,1,"S",3,45,2,1,4,4,2,2,NA,NA,NA,NA,3,3,2,3,3,1,8,1,2,1,1,1,NA,1,8,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,2,2,1,1,1,1,1,1,2,2,3,3,2,3,1,2,2,NA,1,3,1,NA,3,3,4,3,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,4,3,4,4,2,2,57,1,3,2,NA,NA,NA,3,NA,2,2,NA,1,2,NA,1,6,NA,NA,29706,2.96774193548387,0.947521937166941
100151,1,61015,1,"U",3,51,1,2,2,3,1,2,2,1,2,NA,3,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,NA,2,2,2,2,NA,NA,NA,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,3,1,1,NA,4,NA,NA,NA,3,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,36,1,2,1,1,1,0,8,NA,2,3,8,8,1,3,2,7,NA,NA,23452,2.38709677419355,0.762137210329931
